                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.62108,                0.41798,                 0.9216,                0.99466,                      1,                  0.995,                0.85273,                0.55476,                 0.3454,                0.86286,              0.0098733,              0.0098733,              0.0098733
                    130,                0.62291,                 0.3876,                0.94979,                0.99831,                      1,                  0.995,                0.84995,                0.51832,                0.31663,                0.85678,              0.0098723,              0.0098723,              0.0098723
                    131,                0.61941,                0.39255,                0.94473,                0.99841,                      1,                  0.995,                0.85157,                0.57128,                0.33304,                0.87797,              0.0098713,              0.0098713,              0.0098713
                    132,                0.64131,                0.38991,                0.94336,                0.97095,                      1,                0.99415,                0.88197,                0.51839,                0.30554,                0.86072,              0.0098703,              0.0098703,              0.0098703
                    133,                0.61133,                0.41974,                0.93813,                0.98558,                0.97629,                0.99445,                0.85775,                0.52717,                0.32586,                0.86501,              0.0098693,              0.0098693,              0.0098693
                    134,                0.60923,                0.41308,                0.97056,                0.99273,                0.97143,                 0.9929,                0.85285,                0.54527,                0.34838,                0.88886,              0.0098683,              0.0098683,              0.0098683
                    135,                0.63542,                0.40625,                0.95824,                      1,                0.99787,                  0.995,                0.85529,                0.56041,                 0.3321,                0.89212,              0.0098673,              0.0098673,              0.0098673
                    136,                0.59708,                0.39586,                0.91952,                0.99732,                      1,                  0.995,                0.85008,                0.55117,                0.32341,                0.85926,              0.0098663,              0.0098663,              0.0098663
                    137,                0.60671,                 0.3923,                0.93728,                 0.9987,                      1,                  0.995,                0.86382,                0.58158,                0.34496,                0.88586,              0.0098653,              0.0098653,              0.0098653
                    138,                0.58271,                0.38633,                0.92952,                0.97862,                      1,                0.99303,                0.87197,                0.54732,                0.32712,                0.88718,              0.0098644,              0.0098644,              0.0098644
                    139,                 0.5755,                0.38626,                0.88918,                0.99817,                0.98571,                0.99472,                0.86966,                 0.5431,                0.32155,                0.85223,              0.0098634,              0.0098634,              0.0098634
                    140,                0.64332,                0.41846,                 0.9585,                0.98569,                0.98384,                0.99361,                0.86052,                0.56906,                0.32306,                0.85573,              0.0098624,              0.0098624,              0.0098624
                    141,                0.63122,                0.40288,                0.94211,                      1,                0.98381,                0.98812,                0.87498,                0.53446,                0.33537,                0.83927,              0.0098614,              0.0098614,              0.0098614
                    142,                0.62031,                0.39538,                0.92925,                      1,                0.96979,                0.98723,                 0.8431,                0.57462,                0.37106,                0.90494,              0.0098604,              0.0098604,              0.0098604
                    143,                0.63557,                0.45127,                0.95966,                0.98589,                      1,                0.99472,                0.83856,                0.58666,                0.33854,                0.89602,              0.0098594,              0.0098594,              0.0098594
                    144,                0.59978,                 0.3946,                0.93076,                0.99803,                0.95714,                0.99052,                0.86275,                0.54372,                0.33146,                0.85975,              0.0098584,              0.0098584,              0.0098584
                    145,                0.63425,                0.40606,                0.94989,                 0.9973,                0.97143,                0.99026,                0.86555,                0.52361,                0.33273,                 0.8473,              0.0098574,              0.0098574,              0.0098574
                    146,                0.61537,                0.40854,                0.93971,                0.98286,                0.98571,                0.99386,                0.85059,                 0.5259,                0.32069,                0.86439,              0.0098564,              0.0098564,              0.0098564
                    147,                0.59526,                0.37956,                0.92691,                0.99975,                0.97143,                0.99195,                0.86167,                0.51665,                0.32766,                0.85408,              0.0098554,              0.0098554,              0.0098554
                    148,                0.57544,                0.38482,                0.93688,                      1,                 0.9973,                  0.995,                0.85966,                0.57064,                0.34435,                0.85558,              0.0098545,              0.0098545,              0.0098545
                    149,                0.61841,                0.40679,                 0.9206,                0.98684,                      1,                  0.995,                0.86078,                0.54736,                0.33343,                0.84357,              0.0098535,              0.0098535,              0.0098535
                    150,                0.63912,                0.40358,                0.94514,                0.97747,                      1,                0.99472,                0.85768,                0.54202,                 0.3197,                0.85204,              0.0098525,              0.0098525,              0.0098525
                    151,                0.56926,                0.38522,                0.92056,                0.98869,                      1,                  0.995,                 0.8521,                 0.6292,                0.34311,                 0.9362,              0.0098515,              0.0098515,              0.0098515
                    152,                0.59874,                0.39265,                0.91334,                0.99665,                      1,                  0.995,                0.85143,                0.62473,                0.35323,                0.95436,              0.0098505,              0.0098505,              0.0098505
                    153,                0.62914,                0.39384,                0.96573,                0.99805,                      1,                  0.995,                0.84333,                0.53666,                0.32509,                0.85599,              0.0098495,              0.0098495,              0.0098495
                    154,                 0.5751,                0.36685,                0.90983,                0.99632,                0.98571,                0.99446,                0.85155,                0.56193,                0.32471,                0.86426,              0.0098485,              0.0098485,              0.0098485
                    155,                0.63676,                0.41097,                0.92845,                0.96693,                      1,                0.99359,                0.85191,                0.52594,                0.32287,                0.84823,              0.0098475,              0.0098475,              0.0098475
                    156,                0.60148,                 0.3874,                0.92715,                0.96874,                0.98571,                0.99459,                0.85926,                0.55324,                0.33171,                0.84098,              0.0098465,              0.0098465,              0.0098465
